H_DNG_CD,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70,SIDO_NM,SGG_NM,ADMI_NM
11710641,144.59,842.03,1500.46,1944.65,1556.68,1592.37,1651.18,1229.46,125.29,823.41,1528.18,1831.53,1467.1,1825.63,1856.58,1393.03,서울특별시,송파구,문정1동
11710642,92.18,606.36,3180.52,6287.12,5263.15,4215.32,2711.8,1634.62,105.24,690.22,4053.49,5753.86,3951.02,3295.46,2613.69,1904.6,서울특별시,송파구,문정2동
11710646,116.88,1303.77,1790.93,2596.26,2341.22,2327.55,2183.27,1689.75,222.42,1294.08,1776.47,2784.83,2460.83,2731.51,2685.9,2136.57,서울특별시,송파구,장지동
11710647,585.27,2885.66,2083.22,2937.85,4234.85,3163.72,2264.58,1341.79,690.28,3216.64,2149.47,3791.79,5009.17,3475.35,2597.14,1873.28,서울특별시,송파구,위례동
11710650,131.23,910.11,2513.06,3619.37,2469.55,2271.41,1959.97,1481.14,152.07,900.41,3020.37,3371.67,2411.12,2380.86,2159.63,1812.38,서울특별시,송파구,잠실본동
11710670,336.07,2784.56,1890.72,1620.42,3389.86,2910.97,1486.53,1302.33,460.24,2670.27,2437.56,2321.29,4477.63,3002.52,1835.95,1708.87,서울특별시,송파구,잠실2동
11710680,232.97,2510.82,2551.23,2899.89,3838.71,3414.84,2766.23,2520.83,408.69,3281.81,3255.18,3773.49,4814.06,4236.16,3847.6,3158.15,서울특별시,송파구,잠실3동
11710690,163.1,1200.65,978.57,1188.88,1978.39,1714.07,1332.22,1203.64,240.21,1106.51,1093.1,1549.35,2447.63,1879.29,1669.51,1524.1,서울특별시,송파구,잠실4동
11710710,140.02,1178.47,2925.11,4121.26,4099.86,3087.99,1822.51,1296.61,159.18,1379.23,4205.2,4446.55,3631.19,2822.99,2354.17,1616.07,서울특별시,송파구,잠실6동
11710720,44.16,370.92,693.81,748.5,848.06,937.91,808.72,942.96,60.31,787.36,828.85,857.49,964.91,1073.69,983.47,1176.9,서울특별시,송파구,잠실7동
11740515,393.54,2115.45,1836.3,2182.48,2898.95,2790.87,2542.92,2240.94,506.69,2037.26,1707.1,2578.77,3217.88,2993.76,3207.48,2865.61,서울특별시,강동구,강일동
11740525,456.02,2952.87,1792.96,2521.28,3877.75,3018.89,2767.97,2064.4,577.14,3012.61,1983.51,3052.93,4595.75,3268.43,3401.75,2290.98,서울특별시,강동구,상일1동
11740526,185.98,944.08,895.37,1440.12,1938.04,1438.19,858.06,825.04,214.23,940.58,1078.79,1334.25,1545.56,1260.01,1022.69,1093.27,서울특별시,강동구,상일2동
11740530,194.19,1432.66,1322.24,1692.41,2063.34,1991.64,1956.85,1667.68,233.96,1295.99,1331.53,1942.22,2362.0,2393.5,2574.96,2114.75,서울특별시,강동구,명일1동
11740540,113.67,1746.84,881.31,831.17,1157.94,1169.43,1066.39,1018.25,158.32,1324.14,873.36,874.95,1550.6,1378.11,1297.44,1037.88,서울특별시,강동구,명일2동
11740550,351.11,2513.18,885.46,1051.68,2246.58,1742.37,1454.81,1093.64,306.34,1724.86,841.66,1228.01,2770.62,1710.5,1692.73,1167.08,서울특별시,강동구,고덕1동
11740560,240.55,1481.43,1246.25,2085.45,2655.33,2056.79,1764.14,1274.49,334.89,1376.68,1290.0,2251.6,2725.91,1989.7,1852.19,1455.88,서울특별시,강동구,고덕2동
11740570,145.36,1020.34,1896.15,2408.13,2428.88,2600.39,2538.67,2073.56,192.99,905.11,1757.14,2181.93,2332.99,2811.58,2832.05,2802.07,서울특별시,강동구,암사1동
11740580,76.89,501.34,797.55,1265.91,1221.98,1280.45,1197.09,1026.56,83.97,438.23,919.73,1368.81,1177.93,1351.04,1361.34,1316.23,서울특별시,강동구,암사2동
11740590,174.24,972.98,759.47,1133.61,1351.15,1174.82,1131.64,887.58,177.83,929.28,814.93,1298.33,1569.94,1411.03,1301.06,1199.14,서울특별시,강동구,암사3동
11740600,117.26,793.95,1449.25,1911.44,1762.77,2015.47,2138.37,1869.1,109.85,832.45,1429.19,1765.89,1674.39,2139.87,2519.61,2470.21,서울특별시,강동구,천호1동
11740610,122.55,983.25,2452.7,3755.33,3063.14,3255.91,3387.34,2744.19,141.87,933.2,2911.6,3628.58,3139.39,3704.4,3815.29,3407.4,서울특별시,강동구,천호2동
11740620,110.65,654.63,2096.03,3016.34,2219.24,2348.55,2333.77,1790.86,135.65,647.71,2761.62,2920.87,2016.36,2272.45,2513.08,2254.94,서울특별시,강동구,천호3동
11740640,131.58,784.41,1161.21,1751.01,1729.3,1765.6,1528.01,1295.11,178.14,836.16,1344.39,1818.97,1888.48,1894.61,1798.94,1574.62,서울특별시,강동구,성내1동
11740650,81.6,561.65,1666.28,2501.64,1811.57,1900.38,1993.37,1698.43,106.04,596.05,2234.45,2402.78,1709.72,1941.11,2199.29,2184.28,서울특별시,강동구,성내2동
11740660,151.73,1269.66,1952.41,2381.65,2276.81,2456.51,2301.55,1778.87,165.02,963.38,1985.93,2260.51,2346.56,2617.43,2684.82,2313.38,서울특별시,강동구,성내3동
11740685,270.81,1639.65,3338.27,4796.0,4260.09,4457.42,4554.53,3667.62,255.94,1572.96,3936.53,4624.02,4122.12,4919.72,5346.87,4371.12,서울특별시,강동구,길동
11740690,299.1,1784.9,1101.01,2100.89,2407.56,1706.7,1782.92,1234.82,300.13,1253.2,1173.02,2469.96,2712.77,2067.95,2222.32,1307.26,서울특별시,강동구,둔촌1동
11740700,161.09,1214.93,1543.04,2211.4,2067.83,2119.15,2208.71,2327.7,131.07,987.48,1727.77,2214.68,2158.9,2476.6,2584.11,2301.15,서울특별시,강동구,둔촌2동
