TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
19,11740526,15329.26,서울특별시,강동구,상일2동
19,11740530,27545.91,서울특별시,강동구,명일1동
19,11740540,18301.45,서울특별시,강동구,명일2동
19,11740550,21175.16,서울특별시,강동구,고덕1동
19,11740560,24838.18,서울특별시,강동구,고덕2동
19,11740570,31224.18,서울특별시,강동구,암사1동
19,11740580,15704.92,서울특별시,강동구,암사2동
19,11740590,15918.47,서울특별시,강동구,암사3동
19,11740600,24687.12,서울특별시,강동구,천호1동
19,11740610,42171.96,서울특별시,강동구,천호2동
19,11740620,30501.0,서울특별시,강동구,천호3동
19,11740640,21000.52,서울특별시,강동구,성내1동
19,11740650,26982.59,서울특별시,강동구,성내2동
19,11740660,31938.37,서울특별시,강동구,성내3동
19,11740685,56643.69,서울특별시,강동구,길동
19,11740690,23963.23,서울특별시,강동구,둔촌1동
19,11740700,26964.86,서울특별시,강동구,둔촌2동
20,11110515,15964.63,서울특별시,종로구,청운효자동
20,11110530,29553.05,서울특별시,종로구,사직동
20,11110540,4464.07,서울특별시,종로구,삼청동
20,11110550,10866.72,서울특별시,종로구,부암동
20,11110560,17520.31,서울특별시,종로구,평창동
20,11110570,4644.29,서울특별시,종로구,무악동
20,11110580,10705.71,서울특별시,종로구,교남동
20,11110600,7023.0,서울특별시,종로구,가회동
20,11110615,74303.0,서울특별시,종로구,종로1.2.3.4가동
20,11110630,13604.93,서울특별시,종로구,종로5.6가동
20,11110640,25545.26,서울특별시,종로구,이화동
20,11110650,26866.98,서울특별시,종로구,혜화동
20,11110670,7090.62,서울특별시,종로구,창신1동
20,11110680,6239.23,서울특별시,종로구,창신2동
20,11110690,5126.53,서울특별시,종로구,창신3동
20,11110700,6458.08,서울특별시,종로구,숭인1동
20,11110710,10098.29,서울특별시,종로구,숭인2동
20,11140520,24587.05,서울특별시,중구,소공동
20,11140540,22273.91,서울특별시,중구,회현동
20,11140550,38171.73,서울특별시,중구,명동
20,11140570,15041.68,서울특별시,중구,필동
20,11140580,10839.02,서울특별시,중구,장충동
20,11140590,20885.08,서울특별시,중구,광희동
20,11140605,16958.58,서울특별시,중구,을지로동
20,11140615,16448.86,서울특별시,중구,신당동
20,11140625,13828.93,서울특별시,중구,다산동
20,11140635,16410.95,서울특별시,중구,약수동
20,11140645,6690.28,서울특별시,중구,청구동
20,11140650,11454.82,서울특별시,중구,신당5동
20,11140665,14148.02,서울특별시,중구,동화동
20,11140670,13120.08,서울특별시,중구,황학동
20,11140680,13094.92,서울특별시,중구,중림동
20,11170510,12398.12,서울특별시,용산구,후암동
20,11170520,11970.39,서울특별시,용산구,용산2가동
20,11170530,23492.59,서울특별시,용산구,남영동
20,11170555,23664.63,서울특별시,용산구,청파동
20,11170560,17305.67,서울특별시,용산구,원효로1동
20,11170570,13530.28,서울특별시,용산구,원효로2동
20,11170580,9049.7,서울특별시,용산구,효창동
20,11170590,10423.87,서울특별시,용산구,용문동
20,11170625,62475.28,서울특별시,용산구,한강로동
20,11170630,24606.68,서울특별시,용산구,이촌1동
20,11170640,5779.34,서울특별시,용산구,이촌2동
20,11170650,11993.39,서울특별시,용산구,이태원1동
20,11170660,11168.9,서울특별시,용산구,이태원2동
20,11170685,28926.3,서울특별시,용산구,한남동
20,11170690,15238.17,서울특별시,용산구,서빙고동
20,11170700,6391.28,서울특별시,용산구,보광동
20,11200520,11000.1,서울특별시,성동구,왕십리2동
20,11200535,32177.56,서울특별시,성동구,왕십리도선동
20,11200540,22670.49,서울특별시,성동구,마장동
20,11200550,20317.61,서울특별시,성동구,사근동
20,11200560,23429.87,서울특별시,성동구,행당1동
20,11200570,21006.37,서울특별시,성동구,행당2동
20,11200580,12430.1,서울특별시,성동구,응봉동
